query_appid,query_game,metadata_rank,appid,recommended_game,metadata_score,genre_similarity,tag_similarity,play_mode_similarity,shared_genres,shared_tags,shared_play_modes,release_date,pct_pos_total,num_reviews_total,recommendations
1245620,ELDEN RING,26,2568990,Champion of Andia,0.6346,0.7083,0.5126,1.0,"['action', 'rpg']","['3d', 'action', 'action rpg', 'character customization', 'co op', 'fantasy', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2025-02-07,,0.0,0
1245620,ELDEN RING,27,628710,Hell Warders,0.6344,0.6372,0.5418,1.0,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'dark fantasy', 'family friendly', 'fantasy', 'multiplayer', 'online co op', 'rpg', 'souls like']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2019-02-21,54.0,101.0,101
1245620,ELDEN RING,28,626690,Sword Art Online: Fatal Bullet,0.6343,1.0,0.4562,0.7371,"['action', 'rpg']","['action', 'character customization', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person']","['multi player', 'online pvp', 'pvp', 'single player']",2018-02-23,79.0,15143.0,15139
1245620,ELDEN RING,29,2344320,Legacy: Steel & Sorcery,0.628,0.7083,0.504,0.99,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'fantasy', 'multiplayer', 'online co op', 'open world', 'pvp', 'rpg', 'souls like', 'third person']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp']",2025-02-12,68.0,2078.0,2044
1245620,ELDEN RING,30,3440360,Digipunks 2069,0.6263,0.7411,0.4851,1.0,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2025-01-28,,0.0,0
1245620,ELDEN RING,31,240620,Wanderlust Adventures,0.6255,0.814,0.4533,1.0,"['action', 'rpg']","['action', 'action rpg', 'difficult', 'multiplayer', 'online co op', 'open world', 'rpg']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2015-08-10,57.0,198.0,198
1245620,ELDEN RING,32,3476250,Atompunks 1969,0.6253,0.7411,0.4834,1.0,"['action', 'rpg']","['3d', 'action', 'action rpg', 'co op', 'multiplayer', 'online co op', 'pvp', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2025-02-06,,0.0,0
1245620,ELDEN RING,33,2246340,Monster Hunter Wilds,0.6245,0.8633,0.5279,0.6132,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'character customization', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'online co op', 'open world', 'rpg', 'singleplayer', 'third person']","['co op', 'multi player', 'online co op', 'single player']",2025-02-27,62.0,94731.0,88048
1245620,ELDEN RING,34,475150,Titan Quest Anniversary Edition,0.6217,1.0,0.3696,1.0,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'co op', 'fantasy', 'great soundtrack', 'multiplayer', 'open world', 'rpg', 'singleplayer']","['co op', 'multi player', 'online co op', 'online pvp', 'pvp', 'single player']",2016-08-31,91.0,23906.0,23836
1245620,ELDEN RING,35,1110910,Mortal Shell,0.6217,1.0,0.5842,0.141,"['action', 'rpg']","['action', 'action rpg', 'atmospheric', 'dark fantasy', 'difficult', 'multiplayer', 'open world', 'rpg', 'singleplayer', 'souls like', 'third person', 'violent']",['single player'],2021-08-18,69.0,7452.0,7447
