query_appid,query_game,rich_text_rank,appid,recommended_game,rich_text_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
1174180,Red Dead Redemption 2,45,287900,Pro Pinball Ultra,0.089156,2016-07-21,2016,['Simulation'],260,81.0,261.0,6
1174180,Red Dead Redemption 2,46,2988130,Croquettes Gang,0.088677,2024-06-11,2024,"['Casual', 'Indie', 'Free To Play']",0,86.0,23.0,0
1174180,Red Dead Redemption 2,47,904530,Erotic Jigsaw Challenge Vol 2,0.088524,2018-08-07,2018,"['Casual', 'Indie', 'Simulation', 'Strategy']",0,,0.0,0
1174180,Red Dead Redemption 2,48,2752490,Battle for Desert City,0.088147,2024-01-18,2024,"['Indie', 'RPG', 'Strategy']",0,,0.0,0
1174180,Red Dead Redemption 2,49,2133890,Mixture,0.088002,2024-04-12,2024,"['Action', 'Adventure', 'Indie']",0,,0.0,0
1174180,Red Dead Redemption 2,50,312300,Heroes Rise: HeroFall,0.087018,2014-07-11,2014,"['Indie', 'RPG']",131,89.0,131.0,0
578080,PUBG: BATTLEGROUNDS,1,843730,Infected Battlegrounds,0.257611,2018-08-02,2018,"['Action', 'Indie', 'Early Access']",0,50.0,34.0,0
578080,PUBG: BATTLEGROUNDS,2,2630220,HEROS FIGHT Battle royal,0.246799,2023-10-27,2023,"['Action', 'Strategy']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,3,873220,SurvivalZ Battlegrounds,0.242337,2019-04-02,2019,"['Action', 'Indie', 'Simulation', 'Strategy']",273,64.0,273.0,0
578080,PUBG: BATTLEGROUNDS,4,1148300,War Battle Royale Battlegrounds,0.240717,2019-09-11,2019,"['Action', 'Simulation', 'Strategy']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,5,1176170,GIRLS BATTLEGROUNDS | 性感大逃杀,0.235731,2019-11-18,2019,"['Action', 'Adventure']",0,57.0,59.0,0
578080,PUBG: BATTLEGROUNDS,6,1172470,Apex Legends™,0.21583,2020-11-04,2020,"['Action', 'Adventure', 'Free To Play']",1548,67.0,983230.0,151844
578080,PUBG: BATTLEGROUNDS,7,1114020,ZomB: Battlegrounds,0.214394,2019-07-26,2019,"['Action', 'Indie']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,8,658470,Mini Battlegrounds,0.209734,2018-08-20,2018,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Strategy']",207,64.0,586.0,0
578080,PUBG: BATTLEGROUNDS,9,805940,RUSSIA BATTLEGROUNDS,0.208386,2018-07-13,2018,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",3722,77.0,3723.0,3
